folha,frac_invalida,frac_miolo,colar_px,dif_mediana,dif_p95,classe,doente
MDT_SG-22-Z-A-VI-4-SE-C.tif,0.02236,0.01051,0,-60.75,392.53,fora_de_nivel,1
MDT_SG-22-Z-A-VI-4-SE-D.tif,0.02338,0.01147,0,-59.75,357.59,fora_de_nivel,1
MDT_SG-22-Z-A-VI-4-SE-E.tif,0.02223,0.01044,0,-46.66,384.42,fora_de_nivel,1
MDT_SG-22-Z-A-VI-4-SE-F.tif,0.02346,0.0115,0,-34.92,383.1,fora_de_nivel,1
MDT_SG-22-Z-A-VI-4-SO-A.tif,0.02054,0.00884,0,4.81,276.82,furada,1
MDT_SG-22-Z-A-VI-4-SO-B.tif,0.02151,0.00973,0,-124.75,406.36,fora_de_nivel,1
MDT_SG-22-Z-A-VI-4-SO-C.tif,0.02029,0.0087,0,-59.22,222.2,fora_de_nivel,1
MDT_SG-22-Z-A-VI-4-SO-D.tif,0.02138,0.00967,0,12.62,431.61,furada,1
MDT_SG-22-Z-A-VI-4-SO-E.tif,0.02029,0.0087,0,-9.79,223.76,furada,1
MDT_SG-22-Z-A-VI-4-SO-F.tif,0.0214,0.00964,0,1.61,300.86,furada,1
MDT_SG-22-Z-B-I-3-NE-A.tif,0.02591,0.01382,0,856.0,54.01,fora_de_nivel,1
MDT_SG-22-Z-B-I-3-NE-B.tif,0.02688,0.01471,0,955.31,116.15,fora_de_nivel,1
