x,y,altura_m,area_m2,classe,nome
619469.2,6979676.1,2.98,320,ponte,
684509.2,7023428.1,2.97,3456,?,
692421.2,7023244.1,2.97,256,?,
677237.2,6987828.1,2.97,512,?,
689669.2,7026028.1,2.95,2432,?,
690341.2,7024500.1,2.94,512,?,
608125.2,6997468.1,2.94,3648,?,
718669.2,7026268.1,2.93,320,?,
709973.2,7020444.1,2.93,256,?,
594629.2,7002620.1,2.93,512,?,
677229.2,7025804.1,2.92,33344,?,
660941.2,7012612.1,2.92,27776,?,
696309.2,6994100.1,2.91,576,?,
673029.2,7022932.1,2.9,37376,?,
657637.2,6938708.1,2.9,448,?,
692917.2,7021748.1,2.89,4672,?,
650477.2,7003404.1,2.88,576,?,
637981.2,6966700.1,2.88,320,ponte,
669549.2,7031820.1,2.87,256,?,
726293.2,7027316.1,2.87,768,?,
729909.2,7020652.1,2.87,3904,?,
734317.2,7021220.1,2.86,448,?,
654037.2,7004524.1,2.86,256,?,
692645.2,7023452.1,2.85,384,?,
608957.2,6997660.1,2.85,4736,?,
696461.2,6996004.1,2.85,448,?,
696357.2,6994796.1,2.85,5824,?,
724117.2,7027580.1,2.84,384,?,
635485.2,7008924.1,2.84,1600,?,
610029.2,6995932.1,2.83,19712,?,
647501.2,6954348.1,2.82,3904,?,
653277.2,6945700.1,2.82,768,?,
707141.2,7000988.1,2.81,2176,?,
682429.2,6989452.1,2.81,256,?,
637525.2,7013604.1,2.8,1216,?,
584541.2,7010364.1,2.8,2048,?,
659525.2,7008652.1,2.79,320,?,
682269.2,6989276.1,2.79,1600,?,
673829.2,7026428.1,2.78,960,?,
644149.2,7008204.1,2.78,7872,?,
685205.2,6990732.1,2.78,12096,?,
729989.2,7022572.1,2.77,896,?,
642813.2,7009244.1,2.77,7424,?,
637293.2,7014124.1,2.76,448,?,
651349.2,6949876.1,2.76,256,?,
671693.2,7029588.1,2.75,256,?,
684253.2,7025148.1,2.75,320,ponte,
692565.2,7020900.1,2.74,384,?,
635837.2,7007164.1,2.74,384,?,
596557.2,7003564.1,2.74,256,?,
636949.2,6965188.1,2.74,576,?,
684085.2,7023700.1,2.73,384,?,
687101.2,6991980.1,2.73,448,?,
729757.2,7020204.1,2.72,1024,?,
728805.2,7018772.1,2.72,512,?,
