nivel;camada;onde;mensagem
Fatal;Cross Sections;Itajai_Norte, R1 (18636.71);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (17768.13);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (16785.79);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (15899.55);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (15749.55);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (15599.55);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (15449.55);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (15299.55);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (15149.55);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (14999.55);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (14849.55);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (14699.55);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (14549.55);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (14332.64);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (14057.05);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (13907.05);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (13757.05);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (13607.05);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (13457.05);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (13307.05);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (13157.05);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (13007.05);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (12837.89);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (12518.31);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (11770.01);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (11093.41);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (10863.66);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (10713.66);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (10563.66);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (10413.66);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (10263.66);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (10113.66);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (9963.66);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (9813.66);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (9663.66);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (9513.66);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (9363.66);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (9213.66);XS intersects < 2 banklines
